Stewart Calculus Early Transcendentals 7e Video Examples (ET),,,,,,,
Chap/Section/SCalcET7 Video Example,Section,Example #,LIVE URL,English CC File name,Spanish CC File Name,Replacement?,comments
01.06.03,1.6,Example 3,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_01_06_03.html,st_07_01_03_en.htm,st_07_01_03_es.htm,no ,"st_07_01_03, совп. С 03.05.01a-b"
01.06.04,1.6,Example 4,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_01_06_04.html,et_01_06_04_en.htm,et_01_06_04_es.htm,6et_01_06_04,
01.06.09,1.6,Example 9,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_01_06_09.html,et_01_06_09_en.htm,et_01_06_09_es.htm,6et_01_06_09,
Chapter 2: Limits and Derivatives,,,,,,,
2.1 The Tangent and Velocity Problems,,,,,,,
02.01.01,2.1,Example 1,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_02_01_01.html,et_02_01_01_en.htm,et_02_01_01_es.htm,6et_02_01_01,
02.01.02,2.1,Example 2,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_02_01_02.html,et_02_01_02_en.htm,et_02_01_02_es.htm,6et_02_01_02,
02.01.03,2.1,Example 3,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_02_01_03.html,et_02_01_03_en.htm,et_02_01_03_es.htm,6et_02_01_03,
2.2 The Limit of a Function,,,,,,,
02.02.03,2.2,Example 3,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_02_02_03.html,et_02_02_03_04_en.htm,et_02_02_03_04_es.htm,empty ,
02.02.04,2.2,Example 4,http://www.wadsworthmedia.com/math/stewart/solution_videos/7et_02_02_04.html,et_02_02_03_04_en.htm,et_02_02_03_04_es.htm,empty ,
02.02.06,2.2,Example 6,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_02_02_06.html,et_02_02_06_en.htm,et_02_02_06_es.htm,6et_02_02_06,
02.02.07a-f,2.2,Example 7,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_02_02_07.html,et_02_02_07_en.htm,et_02_02_07_es.htm,6et_02_02_07,
2.3 Calculating Limits Using the Limit Laws,,,,,,,
02.03.05,2.3,Example 5,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_02_03_05.html,et_02_03_05_en.htm,et_02_03_05_es.htm,6et_02_03_05,
02.03.08,2.3,Example 8,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_02_03_08.html,et_02_03_08_en.htm,et_02_03_08_es.htm,6et_02_03_08,
02.03.11,2.3,Example 11,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_02_03_11.html,et_02_03_11_en.htm,et_02_03_11_es.htm,6et_02_03_11,
2.4 The Precise Definition of a Limit,,,,,,,
02.04.02,2.4,Example 2,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_02_04_02.html,et_02_04_02_en.htm,et_02_04_02_es.htm,6et_02_04_02,
02.04.03,2.4,Example 3,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_02_04_03.html,et_02_04_03_en.htm,et_02_04_03_es.htm,6et_02_04_03,
02.04.05,2.4,Example 5,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_02_04_05.html,et_02_04_05_en.htm,et_02_04_05_es.htm,6et_02_04_05,
2.5 Continuity,,,,,,,
02.05.02a-d,2.5,Example 2,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_02_05_02.html,et_02_05_02_en.htm,et_02_05_02_es.htm,6et_02_05_02,
02.05.09a,2.5,Example 9,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_02_05_09.html,et_02_05_08_en.htm,et_02_05_08_es.htm,6et_02_05_09,испанские субтитры из 02.05.10
02.05.10,2.5,Example 10,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_02_05_10.html,et_02_05_09_en.htm,et_02_05_09_es.htm,6et_02_05_10,
2.6 Limits at Infinity; Horizontal Asymptotes,,,,,,,
02.06.03,2.6,Example 3,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_02_06_03.html,et_02_06_03_en.htm,et_02_06_03_es.htm,6et_02_06_03,
02.06.07,2.6,Example 7,http://www.wadsworthmedia.com/math/stewart/solution_videos/7et_02_06_07.html,???,???,no,
02.06.12,2.6,Example 12,http://www.wadsworthmedia.com/math/stewart/solution_videos/7et_02_06_12.html,et_02_06_11_en.htm,et_02_06_11_es.htm,7et_02_06_12,
2.7 Derivatives and Rates of Change,,,,,,,
02.07.01,2.7,Example 1,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_02_07_01.html,et_02_07_01_en.htm,et_02_07_01_es.htm,6et_02_07_01,
02.07.03a-b,2.7,Example 3,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_02_07_03.html,et_02_07_04_en.htm,et_02_07_04_es.htm,6et_02_07_03,
02.07.04,2.7,Example 4,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_02_07_04.html,et_02_08_01and02_en.htm,et_02_08_01and02_es.htm,no,
02.07.05,2.7,Example 5,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_02_07_05.html,et_02_08_01and02_es.htm,et_02_08_01and02_es.htm,no,same link as ex.4
02.07.06a-c,2.7,Example 6,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_02_07_06.html,et_02_08_05_en.htm,et_02_08_05_es.htm,6et_02_07_06,
02.07.07,2.7,Example 7,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_02_07_07.html,et_02_08_06_en.htm,et_02_08_06_es.htm,6et_02_07_07,
2.8 The Derivative as a Function,,,,,,,
02.08.01,2.8,Example 1,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_02_08_01.html,et_02_09_01_en.htm,et_02_09_01_es.htm,6et_02_08_01,
02.08.02a-b,2.8,Example 2,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_02_08_02.html,et_02_09_03_en.htm,et_02_09_03_es.htm,6et_02_08_02,
02.08.05,2.8,Example 5,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_02_08_05.html,et_02_09_06_en.htm,et_02_09_06_es.htm,6et_02_08_05,
Chapter 3: Differentiation Rules,,,,,,,
3.1 Derivatives of Polynomials and Exponential Functions,,,,,,,
03.01.03,3.1,Example 3,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_01_03.html,et_03_01_03_en.htm,et_03_01_03_es.htm,6et_03_01_03,
03.01.06,3.1,Example 6,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_01_06.html,et_03_01_06_en.htm,et_03_01_06_es.htm,6et_03_01_06,
03.01.08,3.1,Example 8,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_01_08.html,et_03_01_07_en.htm,et_03_01_07_es.htm,6et_03_01_06,

03.01.08,3.1,Example 8,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_02_04.html,st_03_03_07_en,st_03_03_07_es,6et_03_01_06,

03.02.05,3.2,Example 5,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_02_05.html,et_03_02_06_en.htm,et_03_02_06_es.htm,6et_03_02_05,
3.3 Derivatives of Trigonometric Functions,,,,,,,
03.03.01,3.3,Example 1,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_03_01.html,et_03_04_01_en.htm,et_03_04_01_es.htm,6et_03_03_01,
03.03.03,3.3,Example 3,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_03_03.html,et_03_04_03_en.htm,et_03_04_03_es.htm,6et_03_03_03,
03.03.06,3.3,Example 6,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_03_06.html,et_03_04_05_en.htm,et_03_04_05_es.htm,6et_03_03_06,
3.4 The Chain Rule,,,,,,,
03.04.02a-b,3.4,Example 2,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_04_02.html,et_03_05_02_en.htm,et_03_05_02_es.htm,6et_03_04_02,
03.04.04,3.4,Example 4,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_04_04.html,et_03_05_04_en.htm,et_03_05_04_es.htm,6et_03_04_04,
03.04.08,3.4,Example 8,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_04_08.html,et_03_05_08_en.htm,et_03_05_08_es.htm,6et_03_04_08,
3.5 Implicit Differentiation,,,,,,,
03.05.01a-b,3.5,Example 1,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_05_01.html,st_03_07_01_en.htm,st_03_07_01_es,"st_03_07_01, совп. С 01.06.02","st_03_07_01, совп. С 01.06.03"
03.05.02a-c,3.5,Example 2,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_05_02.html,et_03_06_02_en.htm,et_03_06_02_es.htm,6et_03_05_02,
03.05.05b,3.5,Example 5,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_05_05.html,et_03_06_05_en.htm,et_03_06_05_es.htm,6et_03_05_05,
3.6 Derivatives of Logarithmic Functions,,,,,,,
03.06.01,3.6,Example 1,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_06_01.html,et_03_08_01_en.htm,et_03_08_01_es.htm,6et_03_06_01,
03.06.06,3.6,Example 6,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_06_06.html,et_03_08_06_en.htm,et_03_08_06_es.htm,6et_03_06_06,
03.06.08,3.6,Example 8,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_06_08.html,et_03_08_08_en.htm,et_03_08_08_es.htm, et_03_08_07,
3.7 Rates of Change in the Natural and Social Sciences,,,,,,,
03.07.01a-i,3.7,Example 1,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_07_01.html,"et_03_03_01_en.htm, et_03_07_02_en.htm","et_03_03_01_es.htm, et_03_07_02_es.htm",,"нет (g), (h), (i)"
03.07.03,3.7,Example 3,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_07_03.html,et_03_03_03_en.htm,et_03_03_03_es.htm,6et_03_07_03,
03.07.08,3.7,Example 8,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_07_08.html,et_03_03_08_en.htm,et_03_03_08_es.htm,6et_03_07_08,
3.8 Exponential Growth and Decay,,,,,,,
03.08.01,3.8,Example 1,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_08_01.html,et_09_04_02_en.htm,et_09_04_02_es.htm,6et_03_08_01,
03.08.02a-c,3.8,Example 2,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_08_02.html,et_09_04_03_en.htm,et_09_04_03_es.htm,6et_03_08_02,
3.9 Related Rates,,,,,,,
03.09.01,3.9,Example 1,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_09_01.html,et_03_10_01_en.htm,et_03_10_01_es.htm,6et_03_09_01,
03.09.04,3.9,Example 4,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_09_04.html,et_03_10_04_en.htm,et_03_10_04_es.htm,6et_03_09_04,
03.09.05,3.9,Example 5,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_09_05.html,et_03_10_05_en.htm,et_03_10_05_es.htm,6et_03_09_05,
3.10 Linear Approximations and Differentials,,,,,,,
03.10.01,3.1,Example 1,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_10_01.html,et_03_11_02_en.htm,et_03_11_02_es.htm,6et_03_10_01,
03.10.04,3.1,Example 4,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_10_04.html,et_03_11_05_en.htm,et_03_11_05_es.htm,6et_03_10_04,
3.11 Hyperbolic Functions,,,,,,,
03.11.01a-b,3.11,Example 1,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_11_01.html,et_03_09_01_en.htm,et_03_09_01_es.htm,6et_03_11_01,
03.11.04,3.11,Example 4,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_11_04.html,et_03_09_04_en.htm,et_03_09_04_es.htm,no,
03.11.05,3.11,Example 5,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_03_11_05.html,et_03_09_05_en.htm,et_03_09_05_es.htm,"6et_03_11_04, 6et_03_11_05",
Chapter 4: Applications of Differentiation,,,,,,,
4.1 Maximum and Minimum Values,,,,,,,
04.01.04,4.1,Example 4,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_01_04.html,et_04_01_04_en.htm,et_04_01_04_es.htm,6et_04_01_04,
04.01.07,4.1,Example 7,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_01_07.html,et_04_01_07_en.htm,et_04_01_07_es.htm,6et_04_01_07,
04.01.08,4.1,Example 8,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_01_08.html,et_04_01_08_en.htm,et_04_01_08_es.htm,6et_04_01_08,
4.2 The Mean Value Theorem,,,,,,,
04.02.03,4.2,Example 3,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_02_03.html,et_04_02_03_en.htm,et_04_02_03_es.htm,6et_04_02_03,
04.02.04,4.2,Example 4,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_02_04.html,et_04_02_04_en.htm,et_04_02_04_es.htm,6et_04_02_04,
04.02.05,4.2,Example 5,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_02_05.html,et_04_02_05_en.htm,et_04_02_05_es.htm,6et_04_02_05,
4.3 How Derivatives Affect the Shape of a Graph,,,,,,,
04.03.01,4.3,Example 1,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_03_01.html,et_04_03_01and02_en.htm,et_04_03_01and02_es.htm,empty,
04.03.02,4.3,Example 2,http://www.wadsworthmedia.com/math/stewart/solution_videos/7et_04_03_02.html,et_04_03_01and02_en.htm,et_04_03_01and02_es.htm,empty,
04.03.05,4.3,Example 5,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_03_05.html,et_04_03_05_en.htm,et_04_03_05_es.htm,6et_04_03_05,
04.03.06,4.3,Example 6,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_03_06.html,et_04_03_06_en.htm,et_04_03_06_es.htm,6et_04_03_06,
4.4 Indeterminate Forms and l'Hospital's Rule,,,,,,,
04.04.01,4.4,Example 1,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_04_01.html,et_04_04_01_en.htm,et_04_04_01_es.htm,6et_04_04_01,
04.04.02,4.4,Example 2,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_04_02.html ,?,?,,The requested URL /math/stewart/solution_videos/6et_04_04_02.html was not found on this server.
04.04.03,4.4,Example 3,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_04_03.html,et_04_04_03_en.htm,et_04_04_03_es.htm,6et_04_04_03,
04.04.05,4.4,Example 5,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_04_05.html,?,?,,The requested URL /math/stewart/solution_videos/6et_04_04_05.html was not found on this server.
04.04.06,4.4,Example 6,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_04_06.html,et_04_04_06_en.htm,et_04_04_06_es.htm,6et_04_04_06,
04.04.09,4.4,Example 9,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_04_09.html,?,?,,The requested URL /math/stewart/solution_videos/6et_04_04_09.html was not found on this server.
4.5 Summary of Curve Sketching,,,,,,,
04.05.01,4.5,Example 1,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_05_01.html,et_04_05_01_en.htm,et_04_05_01_es.htm,6et_04_05_01,
04.05.03,4.5,Example 3,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_05_03.html,et_04_05_03_en.htm,et_04_05_03_es.htm,6et_04_05_03,
04.05.06,4.5,Example 6,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_05_06.html,et_04_05_06_en.htm,et_04_05_06_es.htm,6et_04_05_06,
4.6 Graphing with Calculus and Calculators,,,,,,,
04.06.02,4.6,Example 2,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_06_02.html,et_04_06_02_en.htm,et_04_06_02_es.htm,6et_04_06_02,
04.06.03,4.6,Example 3,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_06_03.html,et_04_06_03_en.htm,et_04_06_03_es.htm,6et_04_06_03,
04.06.05,4.6,Example 5,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_06_05.html,et_04_06_05_en.htm,et_04_06_05_es.htm,6et_04_06_05,
4.7 Optimization Problems,,,,,,,
04.07.02,4.7,Example 2,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_07_02.html,et_04_07_02_en.htm,et_04_07_02_es.htm,6et_04_07_02,
04.07.03,4.7,Example 3,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_07_03.html,et_04_07_03_en.htm,et_04_07_03_es.htm,6et_04_07_03,
04.07.05,4.7,Example 5,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_07_05.html,et_04_07_05_en.htm,et_04_07_05_es.htm,6et_04_07_05,
04.07.06,4.7,Example 6,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_07_06.html,et_04_08_03_en.htm,et_04_08_03_es.htm,6et_04_07_06,
4.8 Newton's Method,,,,,,,
04.08.01,4.8,Example 1,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_08_01.html,et_04_09_01_en.htm,et_04_09_01_es.htm,6et_04_08_01,
04.08.02,4.8,Example 2,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_08_02.html,et_04_09_02_en.htm,et_04_09_02_es.htm,6et_04_08_02,
04.08.03,4.8,Example 3,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_08_03.html,et_04_09_03_en.htm,et_04_09_03_es.htm,6et_04_08_03,
4.9 Antiderivatives,,,,,,,
04.09.04,4.9,Example 4,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_09_04.html,et_04_10_04_en.htm,et_04_10_04_es.htm,6et_04_09_04,
04.09.05,4.9,Example 5,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_09_05.html,et_04_10_05_en.htm,et_04_10_05_es.htm,6et_04_09_05,
04.09.06,4.9,Example 6,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_04_09_06.html,et_04_10_07_en.htm,et_04_10_07_es.htm,6et_04_09_06,
Chapter 5: Integrals,,,,,,,
5.1 Areas and Distances,,,,,,,
05.01.01,5.1,Example 1,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_05_01_01.html,et_05_01_01_en.htm,et_05_01_01_es.htm,6et_05_01_01,
05.01.02,5.1,Example 2,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_05_01_02.html,et_05_01_02_en.htm,et_05_01_02_es.htm,6et_05_01_02,
05.01.04,5.1,Example 4,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_05_01_04.html,et_05_01_04_en.htm,et_05_01_04_es.htm,6et_05_01_04,
5.2 The Definite Integral,,,,,,,
05.02.04a-b,5.2,Example 4,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_05_02_04.html,et_05_02_04_en.htm,et_05_02_04_es.htm,6et_05_02_04,
05.02.05,5.2,Example 5,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_05_02_05.html,et_05_02_05_en.htm,et_05_02_05_es.htm,6et_05_02_05,
05.02.07,5.2,Example 7,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_05_02_07.html,et_05_02_07_en.htm,et_05_02_07_es.htm,6et_05_02_07,
5.3 The Fundamental Theorem of Calculus,,,,,,,
05.03.01,5.3,Example 1,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_05_03_01.html,et_05_03_01_en.htm,et_05_03_01_es.htm,6et_05_03_01,
05.03.02,5.3,Example 2,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_05_03_02.html,et_05_03_02_en.htm,et_05_03_02_es.htm,6et_05_03_02,
05.03.05,5.3,Example 5,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_05_03_05.html,et_05_03_05_en.htm,et_05_03_05_es.htm,6et_05_03_05,
5.4 Indefinite Integrals and the Net Change Theorem,,,,,,,
05.04.02,5.4,Example 2,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_05_04_02.html,et_05_04_02_en.htm,et_05_04_02_es.htm,6et_05_04_02,
05.04.04,5.4,Example 4,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_05_04_04.html,et_05_04_04_en.htm,et_05_04_04_es.htm,6et_05_04_04,
05.04.06a-b,5.4,Example 6,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_05_04_06.html,et_05_04_06_en.htm,et_05_04_06_es.htm,6et_05_04_06,
5.5 The Substitution Rule,,,,,,,
05.05.03,5.5,Example 3,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_05_05_03.html,et_05_05_03_en.htm,et_05_05_03_es.htm,6et_05_05_03,
05.05.06,5.5,Example 6,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_05_05_06.html,et_05_05_06_en.htm,et_05_05_06_es.htm,6et_05_05_06,
05.05.09,5.5,Example 9,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_05_05_09.html,et_05_05_09_en.htm,et_05_05_09_es.htm,6et_05_05_09,
05.05.10,5.5,Example 10,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_05_05_10.html,?,?,,The requested URL /math/stewart/solution_videos/6et_05_05_10.html was not found on this server.
Chapter 6: Applications of Integration,,,,,,,
6.1 Areas Between Curves,,,,,,,
06.01.02,6.1,Example 2,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_06_01_02.html,et_06_01_02_en.htm,et_06_01_02_es.htm,6et_06_01_02,
06.01.05,6.1,Example 5,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_06_01_05.html,et_06_01_05_en.htm,et_06_01_05_es.htm,6et_06_01_05,
06.01.06,6.1,Example 6,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_06_01_06.html,et_06_01_06_en.htm,et_06_01_06_es.htm,6et_06_01_06,
6.2 Volumes,,,,,,,
06.02.02,6.2,Example 2,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_06_02_02.html,et_06_02_02_en.htm,et_06_02_02_es.htm,6et_06_02_02,
06.02.03,6.2,Example 3,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_06_02_03.html,et_06_02_03_en.htm,et_06_02_03_es.htm,6et_06_02_03,
06.02.08,6.2,Example 8,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_06_02_08.html,et_06_02_08_en.htm,et_06_02_08_es.htm,6et_06_02_08,
6.3 Volumes by Cylindrical Shells,,,,,,,
06.03.02,6.3,Example 2,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_06_03_02.html,et_06_03_02_en.htm,et_06_03_02_es.htm,6et_06_03_02,
06.03.03,6.3,Example 3,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_06_03_03.html,et_06_03_03_en.htm,et_06_03_03_es.htm,6et_06_03_03,
06.03.04,6.3,Example 4,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_06_03_04.html,et_06_03_04_en.htm,et_06_03_04_es.htm,6et_06_03_04,
6.4 Work,,,,,,,
06.04.01a-b,6.4,Example 1,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_06_04_01.html,et_06_04_01_en.htm,et_06_04_01_es.htm,6et_06_04_01,
06.04.03,6.4,Example 3,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_06_04_03.html,et_06_04_03_en.htm,et_06_04_03_es.htm,6et_06_04_03,
06.04.04,6.4,Example 4,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_06_04_04.html,et_06_04_04_en.htm,et_06_04_04_es.htm,6et_06_04_04,
6.5 Average Value of a Function,,,,,,,
06.05.01,6.5,Example 1,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_06_05_01.html,et_06_05_01_en.htm,et_06_05_01_es.htm,6et_06_05_01,
06.05.02,6.5,Example 2,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_06_05_02.html,et_06_05_02_en.htm,et_06_05_02_es.htm,6et_06_05_02,
06.05.03,6.5,Example 3,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_06_05_03.html,et_06_05_03_en.htm,et_06_05_03_es.htm,6et_06_05_03,
Chapter 7: Techniques of Integration,,,,,,,
7.1 Integration by Parts,,,,,,,
07.01.02,7.1,Example 2,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_07_01_02.html,et_07_01_02_en.htm,et_07_01_02_es.htm,6et_07_01_02,
